# Метеостанция Москва (ВДНХ), Россия, WMO_ID=27612, выборка с 01.09.2021 по 30.09.2021, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27612&lang=ru
#
"Местное время в Москве (ВДНХ)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.09.2021 21:00";"6.3";"762.6";"776.6";"0.0";"84";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"6.6";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"3.7";"Осадков нет";"12";"";"";"";"";
"30.09.2021 18:00";"6.2";"762.6";"776.6";"-0.7";"84";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"19.0";"3.6";"Осадков нет";"12";"";"";"";"";
"30.09.2021 15:00";"6.5";"763.3";"777.3";"0.1";"80";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"3.2";"";"";"";"";"";"";
"30.09.2021 12:00";"6.4";"763.2";"777.2";"0.0";"76";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"2.5";"";"";"";"";"";"";
"30.09.2021 09:00";"5.4";"763.2";"777.3";"0.3";"84";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"5.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"2.9";"Осадков нет";"12";"Поверхность почвы влажная.";"6.0";"";"";
"30.09.2021 06:00";"5.2";"762.9";"777.0";"0.1";"88";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"5.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"";"3.3";"Осадков нет";"12";"";"";"";"";
"30.09.2021 03:00";"5.1";"762.8";"776.9";"0.1";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"";"2.7";"";"";"";"";"";"";
"30.09.2021 00:00";"5.4";"762.7";"776.8";"0.0";"81";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"";"2.3";"";"";"";"";"";"";
"29.09.2021 21:00";"6.0";"762.7";"776.7";"0.3";"74";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"";"10.2";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"1.6";"Осадков нет";"12";"";"";"";"";
"29.09.2021 18:00";"7.2";"762.4";"776.4";"-0.1";"74";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"14.0";"2.9";"Осадков нет";"12";"";"";"";"";
"29.09.2021 15:00";"9.4";"762.5";"776.4";"-0.2";"67";"Ветер, дующий с севера";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"3.6";"";"";"";"";"";"";
"29.09.2021 12:00";"9.8";"762.7";"776.6";"-0.2";"70";"Ветер, дующий с севера";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"4.6";"";"";"";"";"";"";
"29.09.2021 09:00";"5.3";"762.9";"777.0";"0.3";"89";"Ветер, дующий с северо-северо-запада";"1";"";"";"70 – 80%.";"Дымка. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"0.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"4.0";"3.6";"Осадков нет";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"1.0";"";"";
"29.09.2021 06:00";"0.8";"762.6";"776.9";"0.0";"99";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"0.8";"";"";"";"";"";"";"";"0.7";"Осадков нет";"12";"";"";"";"";
"29.09.2021 03:00";"1.4";"762.6";"776.8";"0.5";"99";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"";"1.3";"";"";"";"";"";"";
"29.09.2021 00:00";"2.5";"762.1";"776.3";"0.8";"99";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"";"2.3";"";"";"";"";"";"";
"28.09.2021 21:00";"4.3";"761.3";"775.5";"0.7";"96";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"10.3";"";"";"";"";"";"";"3.7";"Осадков нет";"12";"";"";"";"";
"28.09.2021 18:00";"8.5";"760.6";"774.4";"0.9";"71";"Ветер, дующий с севера";"1";"";"";"50%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"3.4";"Осадков нет";"12";"";"";"";"";
"28.09.2021 15:00";"9.4";"759.7";"773.6";"0.4";"66";"Ветер, дующий с северо-северо-востока";"2";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"3.3";"";"";"";"";"";"";
"28.09.2021 12:00";"7.9";"759.3";"773.2";"1.0";"72";"Ветер, дующий с северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"3.2";"";"";"";"";"";"";
"28.09.2021 09:00";"6.6";"758.3";"772.3";"1.5";"85";"Ветер, дующий с северо-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"6.3";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"4.2";"0.6";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"7.0";"";"";
